latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,footprint_dx,footprint_dy,footprint_nw_lat,footprint_nw_lon,footprint_ne_lat,footprint_ne_lon,footprint_se_lat,footprint_se_lon,footprint_sw_lat,footprint_sw_lon,footprint_area_km2,ee_elevation,ee_ndvi,ee_population_density,ee_landcover,ee_pdsi,ee_pr,ee_sph,ee_th,ee_tmmn,ee_tmmx,ee_vs,ee_erc
41.16004,-121.70553,298.05,0.34,0.56,2025-01-07,917,N21,VIIRS,n,2.0NRT,272.52,1.19,N,2025-01-07 09:17:00,0.0022372046173755105,0.0016843334531081568,41.16172433345311,-121.70776720461737,41.16172433345311,-121.70329279538262,41.158355666546896,-121.70329279538262,41.158355666546896,-121.70776720461737,0.140625,1486,0.8416,0.0,10,1.350000023841858,1.399999976158142,0.0040699997916817665,17.0,264.8999938964844,276.3999938964844,2.5,0.0
41.16026,-121.70957,304.47,0.34,0.56,2025-01-07,917,N21,VIIRS,n,2.0NRT,272.12,1.19,N,2025-01-07 09:17:00,0.002237212127035601,0.0016843334531081568,41.16194433345311,-121.71180721212704,41.16194433345311,-121.70733278787296,41.158575666546895,-121.70733278787296,41.158575666546895,-121.71180721212704,0.140625,1495,0.7528,0.0,10,1.2100000381469727,1.5,0.00394000019878149,17.0,264.8999938964844,275.20001220703125,2.5,0.0
32.50811,-116.76961,295.11,0.46,0.39,2025-01-07,919,N21,VIIRS,n,2.0NRT,278.45,0.48,N,2025-01-07 09:19:00,0.0019972758516870787,0.0016843334531081568,32.50979433345311,-116.7716072758517,32.50979433345311,-116.76761272414831,32.506425666546896,-116.76761272414831,32.506425666546896,-116.7716072758517,0.140625,237,0.2228,91.2341079711914,30,,0.6000000238418579,0.004449999891221523,216.0,275.3999938964844,293.5,1.899999976158142,29.0
32.59877,-117.01342,303.79,0.47,0.4,2025-01-07,919,N21,VIIRS,n,2.0NRT,280.91,0.71,N,2025-01-07 09:19:00,0.001999294364244192,0.0016843334531081568,32.60045433345311,-117.01541929436424,32.60045433345311,-117.01142070563576,32.597085666546896,-117.01142070563576,32.597085666546896,-117.01541929436424,0.140625,96,0.19010000000000002,0.0,50,-1.850000023841858,0.699999988079071,0.006060000043362379,223.0,277.6000061035156,293.8999938964844,2.0,20.0
32.85742,-117.14909,295.53,0.48,0.4,2025-01-07,919,N21,VIIRS,n,2.0NRT,273.78,0.43,N,2025-01-07 09:19:00,0.0020051032578321812,0.0016843334531081568,32.859104333453104,-117.15109510325783,32.859104333453104,-117.14708489674217,32.85573566654689,-117.14708489674217,32.85573566654689,-117.15109510325783,0.140625,133,0.2427,0.0,30,0.6700000166893005,0.30000001192092896,0.0061599998734891415,207.0,278.0,292.8999938964844,1.7000000476837158,30.0
32.85769,-117.03003,301.22,0.47,0.4,2025-01-07,919,N21,VIIRS,n,2.0NRT,274.63,1.11,N,2025-01-07 09:19:00,0.002005109360636971,0.0016843334531081568,32.859374333453104,-117.03203510936063,32.859374333453104,-117.02802489063936,32.85600566654689,-117.02802489063936,32.85600566654689,-117.03203510936063,0.140625,156,0.2674,0.0,30,0.699999988079071,0.5,0.005330000072717667,210.0,276.20001220703125,293.8999938964844,1.7000000476837158,33.0
33.49123,-117.61852,297.45,0.51,0.41,2025-01-07,919,N21,VIIRS,n,2.0NRT,279.4,0.96,N,2025-01-07 09:19:00,0.0020196564119025354,0.0016843334531081568,33.49291433345311,-117.6205396564119,33.49291433345311,-117.6165003435881,33.489545666546896,-117.6165003435881,33.489545666546896,-117.6205396564119,0.140625,207,0.26880000000000004,2.613980770111084,50,1.0700000524520874,0.0,0.00547999981790781,222.0,278.1000061035156,293.29998779296875,2.5999999046325684,37.0
33.61125,-117.82282,296.73,0.52,0.42,2025-01-07,919,N21,VIIRS,n,2.0NRT,281.88,0.85,N,2025-01-07 09:19:00,0.0020224640224037575,0.0016843334531081568,33.612934333453104,-117.8248424640224,33.612934333453104,-117.82079753597759,33.60956566654689,-117.82079753597759,33.60956566654689,-117.8248424640224,0.140625,184,0.3453,298.9143981933594,20,1.5700000524520874,0.0,0.005590000189840794,201.0,280.70001220703125,293.0,1.7999999523162842,45.0
33.71413,-117.71339,301.68,0.52,0.41,2025-01-07,919,N21,VIIRS,n,2.0NRT,279.32,0.78,N,2025-01-07 09:19:00,0.002024883981476583,0.0016843334531081568,33.7158143334531,-117.71541488398148,33.7158143334531,-117.71136511601853,33.71244566654689,-117.71136511601853,33.71244566654689,-117.71541488398148,0.140625,219,0.27740000000000004,0.0,30,2.049999952316284,0.0,0.005260000005364418,213.0,279.1000061035156,294.1000061035156,2.200000047683716,42.0
33.77792,-118.23687,299.38,0.55,0.43,2025-01-07,919,N21,VIIRS,n,2.0NRT,287.79,1.18,N,2025-01-07 09:19:00,0.00202639065467915,0.0016843334531081568,33.77960433345311,-118.23889639065467,33.77960433345311,-118.23484360934532,33.776235666546896,-118.23484360934532,33.776235666546896,-118.23889639065467,0.140625,6,0.1388,10.845029830932617,50,1.2599999904632568,0.0,0.006649999879300594,187.0,278.8999938964844,292.1000061035156,1.100000023841858,28.0
33.81374,-118.23725,296.36,0.55,0.43,2025-01-07,919,N21,VIIRS,n,2.0NRT,286.19,1.9,N,2025-01-07 09:19:00,0.0020272387826090377,0.0016843334531081568,33.81542433345311,-118.2392772387826,33.81542433345311,-118.2352227612174,33.8120556665469,-118.2352227612174,33.8120556665469,-118.2392772387826,0.140625,12,0.11520000000000001,0.0,50,1.8300000429153442,0.0,0.006709999870508909,187.0,279.3999938964844,291.8999938964844,1.2000000476837158,29.0
