latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,footprint_dx,footprint_dy,footprint_nw_lat,footprint_nw_lon,footprint_ne_lat,footprint_ne_lon,footprint_se_lat,footprint_se_lon,footprint_sw_lat,footprint_sw_lon,footprint_area_km2,ee_elevation,ee_ndvi,ee_population_density,ee_landcover,ee_pdsi,ee_pr,ee_sph,ee_th,ee_tmmn,ee_tmmx,ee_vs,ee_erc
34.0369,-118.55901,344.56,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,285.94,6.99,D,2025-01-07 20:40:00,0.002032556609211144,0.0016843334531081568,34.03858433345311,-118.56104255660921,34.03858433345311,-118.55697744339079,34.0352156665469,-118.55697744339079,34.0352156665469,-118.56104255660921,0.140625,0,,763.5986328125,80,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.03789,-118.55386,341.67,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,286.91,10.09,D,2025-01-07 20:40:00,0.002032580331491979,0.0016843334531081568,34.0395743334531,-118.55589258033149,34.0395743334531,-118.55182741966851,34.03620566654689,-118.55182741966851,34.03620566654689,-118.55589258033149,0.140625,0,,1259.8011474609375,80,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.03955,-118.56501,327.67,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,287.19,6.99,D,2025-01-07 20:40:00,0.0020326201108502827,0.0016843334531081568,34.041234333453104,-118.56704262011085,34.041234333453104,-118.56297737988915,34.03786566654689,-118.56297737988915,34.03786566654689,-118.56704262011085,0.140625,23,0.2461,1566.06884765625,50,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04055,-118.55983,353.46,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,291.59,6.99,D,2025-01-07 20:40:00,0.0020326440758941765,0.0016843334531081568,34.04223433345311,-118.5618626440759,34.04223433345311,-118.55779735592411,34.0388656665469,-118.55779735592411,34.0388656665469,-118.5618626440759,0.140625,35,0.2908,790.8216552734375,10,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04154,-118.55464,355.57,0.48,0.4,2025-01-07,2040,N21,VIIRS,l,2.0NRT,289.75,10.09,D,2025-01-07 20:40:00,0.0020326678024542313,0.0016843334531081568,34.043224333453104,-118.55667266780246,34.043224333453104,-118.55260733219755,34.03985566654689,-118.55260733219755,34.03985566654689,-118.55667266780246,0.140625,39,0.3049,851.7344360351562,10,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04251,-118.54955,350.66,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,288.44,10.09,D,2025-01-07 20:40:00,0.0020326910508156964,0.0016843334531081568,34.044194333453106,-118.55158269105081,34.044194333453106,-118.54751730894918,34.040825666546894,-118.54751730894918,34.040825666546894,-118.55158269105081,0.140625,39,0.3049,851.7344360351562,10,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04321,-118.56579,328.79,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,289.74,404.27,D,2025-01-07 20:40:00,0.002032707828676052,0.0016843334531081568,34.04489433345311,-118.56782270782868,34.04489433345311,-118.56375729217133,34.041525666546896,-118.56375729217133,34.041525666546896,-118.56782270782868,0.140625,23,0.2461,1566.06884765625,50,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04351,-118.54434,325.4,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,289.66,4.36,D,2025-01-07 20:40:00,0.002032715019365301,0.0016843334531081568,34.045194333453104,-118.54637271501937,34.045194333453104,-118.54230728498064,34.04182566654689,-118.54230728498064,34.04182566654689,-118.54637271501937,0.140625,56,0.3049,2464.794921875,10,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.0452,-118.55537,367.0,0.48,0.4,2025-01-07,2040,N21,VIIRS,l,2.0NRT,327.89,272.67,D,2025-01-07 20:40:00,0.00203275552890653,0.0016843334531081568,34.04688433345311,-118.5574027555289,34.04688433345311,-118.5533372444711,34.043515666546895,-118.5533372444711,34.043515666546895,-118.5574027555289,0.140625,39,0.3049,851.7344360351562,10,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04617,-118.55029,367.0,0.48,0.4,2025-01-07,2040,N21,VIIRS,h,2.0NRT,291.93,272.67,D,2025-01-07 20:40:00,0.0020327787814731816,0.0016843334531081568,34.0478543334531,-118.55232277878147,34.0478543334531,-118.54825722121853,34.04448566654689,-118.54825722121853,34.04448566654689,-118.55232277878147,0.140625,39,0.3049,851.7344360351562,10,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04689,-118.56643,337.71,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,290.89,404.27,D,2025-01-07 20:40:00,0.0020327960418310073,0.0016843334531081568,34.048574333453104,-118.56846279604183,34.048574333453104,-118.56439720395817,34.04520566654689,-118.56439720395817,34.04520566654689,-118.56846279604183,0.140625,23,0.2461,1566.06884765625,50,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04715,-118.54517,338.07,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,290.28,4.68,D,2025-01-07 20:40:00,0.0020328022748889248,0.0016843334531081568,34.04883433345311,-118.54720280227488,34.04883433345311,-118.54313719772512,34.045465666546896,-118.54313719772512,34.045465666546896,-118.54720280227488,0.140625,56,0.3049,2464.794921875,10,,0.0,0.005679999943822622,227.0,281.29998779296875,291.70001220703125,1.600000023841858,43.0
34.04786,-118.56132,367.0,0.48,0.4,2025-01-07,2040,N21,VIIRS,l,2.0NRT,362.53,404.27,D,2025-01-07 20:40:00,0.0020328192963396468,0.0016843334531081568,34.049544333453106,-118.56335281929634,34.049544333453106,-118.55928718070365,34.046175666546894,-118.55928718070365,34.046175666546894,-118.56335281929634,0.140625,118,0.2419,42.91071319580078,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
34.04813,-118.53999,325.17,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,291.26,4.68,D,2025-01-07 20:40:00,0.0020328257694424336,0.0016843334531081568,34.04981433345311,-118.54202282576945,34.04981433345311,-118.53795717423056,34.046445666546894,-118.53795717423056,34.046445666546894,-118.54202282576945,0.140625,105,0.2659,1420.3568115234375,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
34.04882,-118.55629,367.0,0.48,0.4,2025-01-07,2040,N21,VIIRS,h,2.0NRT,357.84,272.67,D,2025-01-07 20:40:00,0.0020328423122086083,0.0016843334531081568,34.050504333453105,-118.55832284231221,34.050504333453105,-118.5542571576878,34.04713566654689,-118.5542571576878,34.04713566654689,-118.55832284231221,0.140625,118,0.2419,42.91071319580078,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
34.0491,-118.53491,341.36,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,293.0,3.05,D,2025-01-07 20:40:00,0.002032849025376063,0.0016843334531081568,34.05078433345311,-118.53694284902538,34.05078433345311,-118.53287715097461,34.0474156665469,-118.53287715097461,34.0474156665469,-118.53694284902538,0.140625,108,0.26480000000000004,917.6705322265625,50,1.850000023841858,0.0,0.005330000072717667,227.0,280.29998779296875,293.20001220703125,1.7000000476837158,44.0
34.04981,-118.55112,367.0,0.48,0.4,2025-01-07,2040,N21,VIIRS,h,2.0NRT,334.38,272.67,D,2025-01-07 20:40:00,0.002032866048467078,0.0016843334531081568,34.05149433345311,-118.55315286604846,34.05149433345311,-118.54908713395153,34.048125666546895,-118.54908713395153,34.048125666546895,-118.55315286604846,0.140625,120,0.2564,341.0213317871094,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
34.05056,-118.56711,326.1,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,290.66,284.83,D,2025-01-07 20:40:00,0.0020328840312541685,0.0016843334531081568,34.0522443334531,-118.56914288403125,34.0522443334531,-118.56507711596875,34.04887566654689,-118.56507711596875,34.04887566654689,-118.56914288403125,0.140625,133,0.2393,45.85663986206055,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
34.05079,-118.54598,340.68,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,291.07,4.68,D,2025-01-07 20:40:00,0.002032889546109077,0.0016843334531081568,34.052474333453105,-118.54801288954611,34.052474333453105,-118.54394711045389,34.04910566654689,-118.54394711045389,34.04910566654689,-118.54801288954611,0.140625,105,0.2659,1420.3568115234375,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
34.05155,-118.56195,367.0,0.48,0.4,2025-01-07,2040,N21,VIIRS,h,2.0NRT,333.2,284.83,D,2025-01-07 20:40:00,0.0020329077695536626,0.0016843334531081568,34.053234333453105,-118.56398290776956,34.053234333453105,-118.55991709223044,34.04986566654689,-118.55991709223044,34.04986566654689,-118.56398290776956,0.140625,118,0.2419,42.91071319580078,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
34.05178,-118.54077,342.6,0.48,0.4,2025-01-07,2040,N21,VIIRS,n,2.0NRT,291.57,4.68,D,2025-01-07 20:40:00,0.0020329132846783745,0.0016843334531081568,34.05346433345311,-118.54280291328467,34.05346433345311,-118.53873708671532,34.050095666546895,-118.53873708671532,34.050095666546895,-118.54280291328467,0.140625,105,0.2659,1420.3568115234375,10,1.6399999856948853,0.0,0.005169999785721302,227.0,281.5,291.8999938964844,1.7000000476837158,52.0
